	-1		
+39 0331 565988	-1		
Burgez.com	-1		
acasadiminola.it	-1		
agricar.mercedes-benz.it	-1		
alergo.it	-1		
asst-spedalicivili.it	-1		
aurodental.it	-1		
autoberlin.it	-1		
automotive.rent	-1		
autoriparazioniclaudioresoli.it	-1		
autoriparazionitognidaniele.com	-1		
autoscout24.it	-1		
autoscuolafolgore.com	-1		
autosystemspa.it	-1		
bccbrescia.it	-1		
bresciaferport.it	-1		
brixiawrap.it	-1		
cartapani.it	-1		
cartolibrerialapergamena.it	-1		
cbbo.it	-1		
comune.borgosatollo.bs.it	-1		
conad.it	-1		
crystalottica.it	-1		
csadistribuzione.it	-1		
divelife.it	-1		
dmagazine.it	-1		
edicole.primaedicola.it	-1		
elettrautobrescia.it	-1		
fradiavolopizzeria.com	-1		
gallettistore.com	-1		
gattastore.it	-1		
gelaterialapecoranera.it	-1		
giangusto.it	-1		
granodorovarese.it	-1		
gruppocarmeli.com	-1		
gruppogiovannini.com	-1		
gruppomove.it	-1		
hotelgirasole2000.it	-1		
http://100gradi.com/sporting/	6		
http://activaht.instantshop.it/	6		
http://Www.fabiodolcini.it/gelateria.html	0	301	https://www.fabiodolcini.it/gelateria.html
https://questure.poliziadistato.it/servizio/uffici/5730dc9d14ab4929487638#:~:text=Note%3A%20Si%20comunica%20all'utenza,.bs%40poliziadistato.it%20.	0	200	
http://adasto.com	0	301	https://www.adasto.com/
http://agriturismoilfalcone.it/	6		
http://agriturismoilgallo.com/	6		
http://agoranibionno.com	0	301	https://agoranibionno.com/
http://albese.pescevela.it	6		
http://albergolegazzuolo.it	0	301	http://www.albergolegazzuolo.it/
http://alportoclusane.it/	0	301	https://www.alportoclusane.it/
http://amarcordpiadineria.it	0	301	http://www.amarcordpiadineria.it/
http://anticalelia.com	6		
http://arealameccanica.com/	0	301	https://arealameccanica.com/
http://asilonido123stella.it	0	301	http://www.asilonido123stella.it/
http://ancorabagolino.com/	0	200	
http://associazioneadlibitum.it	0	301	https://associazioneadlibitum.it/
http://associazioneadlibitum.it/	0	301	https://associazioneadlibitum.it/
http://auto90evolution.it	0	404	
http://associazionenaturalmente.altervista.org/	0	200	
http://b-barucco.it/	6		
http://autoalbavilla.it	0	301	https://autoalbavilla.it/
http://aereomodellistiagello.it	0	200	
http://bhangrabar.it	0	301	https://bhangrabar.it/
http://birrificiolambrate.com	0	301	https://birrificiolambrate.com/
http://blog.csbno.net/canegrate/	6		
http://boscodellequerceome.altervista.org/	0	200	
http://bottegadarteantichita.com	0	301	https://bottegadarteantichita.com/
http://brescia.lamaisondelamour.com	0	301	https://www.lamaisondelamour.com/
http://brianzabiblioteche.it/	0	301	https://brianzabiblioteche.it/
http://bustoarsizio.ubiklibri.it	0	302	https://www.ubiklibri.it/
http://caicrema.it/baita/	0	301	https://caicrema.it/baita/
http://37.207.194.154/ware/schedaigm95.php?id=3087	28		
http://carrozzeriacomi.it/	0	301	https://www.carrozzeriacomi.it/
http://casa-scout.masci-como.it/	0	301	https://casa-scout.masci-como.it/
http://catastoforre.aic-canyoning.it/index/forra/cod/BS007	0	301	https://catastoforre.aic-canyoning.it/index/forra/cod/BS007
http://casacosi.com	0	301	https://casacosi.com/
http://crema.di.unimi.it/	0	200	
http://birrerialapulce.it/	28		
http://dalloziobacco.com/	0	200	
http://cultura.legnano.org/musei/	0	404	
http://distillerienovelli.it/	6		
http://enelopendata.insideout.io/#/PuntoEnel_Lombardia_69	6		
http://bit.do/c6fi8	28		
http://facebook.com/LaSforneria/	0	301	https://facebook.com/LaSforneria/
http://facebook.com/barlatorrebrescia	0	301	https://facebook.com/barlatorrebrescia
http://facebook.com/piastrapendolina	0	301	https://facebook.com/piastrapendolina
http://farmaciabassini.com	0	302	http://www.farmaciabassini.com/
http://ecoflysrl.it/	0	301	https://www.ecoflyspa.it/
http://fomasgroup.com	0	301	https://www.fomasgroup.com/
http://ferrariopaolo.it	0	301	https://ferrariopaolo.it/
http://frantoiomontecroce.it	0	200	
http://farmaciaarrighi.it	0	200	
http://fuasian.it	6		
http://gardakitesurf.com	0	302	http://www.gardakitesurf.com/
http://coslombardia.cos.it/GST/index.php?option=com_content&view=article&id=11&Itemid=553	0	301	http://coslombardia.cos.it/GST/?option=com_content&view=article&id=11&Itemid=553
http://genzianellavalmasino.com/	0	200	
http://gisdev.io	0	301	https://gisdev.io/
http://fronteretro.net/index.html	0	200	
http://grezzorawchocolate.com	0	301	https://grezzorawchocolate.com/
http://geoportale.caibergamo.it/it/rifugio/bivacco-davide	0	308	https://geoportale.caibergamo.it/it/rifugio/bivacco-davide
http://geoportale.caibergamo.it/it/rifugio/bivacco-don-giulio-corini	0	308	https://geoportale.caibergamo.it/it/rifugio/bivacco-don-giulio-corini
http://gustoarsizio.com	0	301	https://gustoarsizio.com/
http://hotelbelvedere.bs.it/	6		
http://gruppotiraboschi.it/	0	200	
http://hoteleternita.it/	0	301	https://www.hoteleternita.it/
http://idea.vg/	0	301	https://idea.vg/
http://idroelettricamcl.it/coclea-idraulica-rezzato---idrogarda.html	0	403	
http://ilpeperone.com/	0	301	https://www.domainmarket.com:443/buynow/ilpeperone.com
http://ippogrifoviaggi.ippogrifoviaggi.it/	6		
http://hotelengadina.com	0	200	
